id,title,genres,averageRating,numVotes,releaseYear
tt8907992,"The Girl on the Train","[""Crime"", ""Drama"", ""Mystery""]",4,15129,2021
tt4600952,"The Guardians","[""Action"", ""Adventure"", ""Comedy""]",4,14732,2017
tt3899796,"Sharknado 3: Oh Hell No!","[""Action"", ""Adventure"", ""Comedy""]",4,14075,2015
tt14502344,They/Them,"[""Drama"", ""Horror"", ""Mystery""]",4,12192,2022
tt10303324,"Survive the Night","[""Action"", ""Drama"", ""Thriller""]",4,12072,2020
tt9625664,"Trauma Center","[""Action"", ""Thriller""]",4,12047,2019
tt0212235,"Shriek If You Know What I Did Last Friday the Thirteenth","[""Comedy"", ""Horror""]",4,11647,2000
tt11253090,Annaatthe,"[""Action"", ""Comedy"", ""Drama""]",4,10854,2021
tt8400758,"Killers Anonymous","[""Action"", ""Crime"", ""Mystery""]",4,10424,2019
tt13851804,Siavash,"[""Drama""]",4,10321,2021
tt1190617,"An American Carol","[""Comedy"", ""Fantasy""]",4,10155,2008
tt12262202,"The Acolyte","[""Action"", ""Adventure"", ""Drama""]",4.1,123762,2024
tt0312528,"The Cat in the Hat","[""Adventure"", ""Comedy"", ""Family""]",4.1,89300,2003
tt0111301,"Street Fighter","[""Action"", ""Adventure"", ""Comedy""]",4.1,76461,1994
tt0107254,"Jason Goes to Hell","[""Fantasy"", ""Horror"", ""Thriller""]",4.1,37823,1993
tt0329691,Torque,"[""Action"", ""Comedy"", ""Crime""]",4.1,29769,2004
tt1633356,"Shark Night","[""Action"", ""Horror"", ""Thriller""]",4.1,27417,2011
tt1679235,"Mean Girls 2","[""Comedy"", ""Drama""]",4.1,26178,2011
tt2375779,"Wrong Turn 5: Bloodlines","[""Adventure"", ""Horror""]",4.1,23632,2012
tt5970844,"Thugs of Hindostan","[""Action"", ""Adventure""]",4.1,22203,2018
tt5913798,Wounds,"[""Drama"", ""Horror"", ""Mystery""]",4.1,22164,2019
tt1433822,"The Apparition","[""Horror"", ""Thriller""]",4.1,20773,2012
tt0960890,"Zombie Strippers!","[""Comedy"", ""Horror"", ""Sci-Fi""]",4.1,19102,2008
tt3612032,"Wrong Turn 6: Last Resort","[""Adventure"", ""Horror""]",4.1,18045,2014
tt0120860,"From Dusk Till Dawn 2: Texas Blood Money","[""Crime"", ""Horror"", ""Thriller""]",4.1,17683,1999
tt0119718,"Mr. Magoo","[""Adventure"", ""Comedy"", ""Family""]",4.1,16335,1997
tt5103758,"Troy: Fall of a City","[""Action"", ""Adventure"", ""Fantasy""]",4.1,15684,2018
tt27785647,"Episode #1.8","[""Comedy"", ""Drama"", ""Romance""]",4.1,15171,2023
tt0120604,Beowulf,"[""Action"", ""Adventure"", ""Fantasy""]",4.1,12711,1999
tt7869070,"The Fanatic","[""Crime"", ""Drama"", ""Horror""]",4.1,12711,2019
tt4382872,Extraction,"[""Action"", ""Thriller""]",4.1,12121,2015
tt8433210,"A Dark Foe","[""Crime"", ""Drama"", ""Horror""]",4.1,11817,2020
tt0200469,Bats,"[""Horror"", ""Sci-Fi"", ""Thriller""]",4.1,11621,1999
tt12772746,Diverged,"[""Drama"", ""Horror"", ""Thriller""]",4.1,11590,2021
tt2322441,"Fifty Shades of Grey","[""Drama"", ""Romance"", ""Thriller""]",4.2,340614,2015
tt0477051,Norbit,"[""Comedy"", ""Romance""]",4.2,81073,2007
tt10280276,"Coolie No. 1","[""Action"", ""Comedy"", ""Romance""]",4.2,74355,2020
tt0108255,"Super Mario Bros.","[""Adventure"", ""Comedy"", ""Family""]",4.2,63846,1993
tt0107978,"RoboCop 3","[""Action"", ""Crime"", ""Sci-Fi""]",4.2,55316,1993
tt0141369,"Inspector Gadget","[""Action"", ""Adventure"", ""Comedy""]",4.2,51509,1999
tt0102034,"Highlander II: The Quickening","[""Action"", ""Adventure"", ""Fantasy""]",4.2,48591,1991
tt9660182,"Resident Evil","[""Action"", ""Horror"", ""Sci-Fi""]",4.2,46715,2022
tt1560985,"The Devil Inside","[""Horror""]",4.2,37826,2012
tt0357507,Boogeyman,"[""Drama"", ""Horror"", ""Mystery""]",4.2,32901,2005
tt0176269,"Universal Soldier: The Return","[""Action"", ""Sci-Fi""]",4.2,31074,1999
tt3120430,Mantus,"[""Comedy"", ""Drama"", ""Thriller""]",4.2,28725,2014
tt10062556,"Bhuj: The Pride of India","[""Action"", ""Drama"", ""History""]",4.2,25023,2021
tt2309260,"The Gallows","[""Horror"", ""Mystery"", ""Thriller""]",4.2,21834,2015
tt0318081,"A Sound of Thunder","[""Action"", ""Adventure"", ""Horror""]",4.2,20715,2005
tt3704538,"V/H/S Viral","[""Horror"", ""Thriller""]",4.2,19951,2014
tt2752758,"Devil's Due","[""Horror"", ""Mystery""]",4.2,17984,2014
tt3480796,Vice,"[""Action"", ""Sci-Fi"", ""Thriller""]",4.2,17200,2015
tt8597594,Adverse,"[""Crime"", ""Thriller""]",4.2,16215,2020
tt3838992,"Yoga Hosers","[""Action"", ""Comedy"", ""Horror""]",4.2,15767,2016
tt6372694,"Prisoners of the Ghostland","[""Fantasy"", ""Horror"", ""Thriller""]",4.2,14568,2021
